potential,current,current_filtered_50Hz,current_filtered_60Hz,basecurrent_4
-520.3125,-3.7247344324669555e-08,-4.0931484889451656e-08,-3.9971749757283154e-08,2.9097685449777442e-08
-520.8125,-3.7257675797662236e-08,-4.106879186080703e-08,-3.994576048240984e-08,2.9118459103078775e-08
-521.3125,-3.80309468147294e-08,-4.124537209124491e-08,-4.009346239453792e-08,2.9139240463849943e-08
-521.8125,-3.7823522626184136e-08,-4.0875687659008274e-08,-4.01024909325653e-08,2.916002951104811e-08
-522.3125,-3.948609504931312e-08,-4.135063846777165e-08,-4.064134158706573e-08,2.9180826223638548e-08
-522.8125,-4.017433009636364e-08,-4.089721949021082e-08,-4.063415510336224e-08,2.9201630580594628e-08
-523.3125,-4.1111315223930115e-08,-4.1286127769709984e-08,-4.1323097145794864e-08,2.9222442560897817e-08
-523.8125,-4.205068453757181e-08,-4.087137910279543e-08,-4.129216954078502e-08,2.924326214353769e-08
-524.3125,-4.374266192229532e-08,-4.129172039735216e-08,-4.193191257620552e-08,2.926408930751192e-08
-524.8125,-4.3719614790234736e-08,-4.091661960717744e-08,-4.188781871272832e-08,2.9284924031826273e-08
-525.3125,-4.4806008911849126e-08,-4.1208817099171656e-08,-4.230810583234919e-08,2.9305766295494636e-08
-525.8125,-4.505714317844032e-08,-4.110622695573322e-08,-4.21500605544901e-08,2.9326616077538973e-08
-526.3125,-4.4446791543180726e-08,-4.1079203450061343e-08,-4.223977349498943e-08,2.9347473356989364e-08
-526.8125,-4.4060553398993017e-08,-4.106240256162573e-08,-4.191409621622305e-08,2.9368338112883982e-08
-527.3125,-4.303773757271817e-08,-4.115965432854997e-08,-4.1736331598448167e-08,2.938921032426911e-08
-527.8125,-4.1681135695910736e-08,-4.091515216166598e-08,-4.1358607317421366e-08,2.9410089970199113e-08
-528.3125,-4.138788080865712e-08,-4.120008707264195e-08,-4.1030378985303524e-08,2.9430977029736484e-08
-528.8125,-3.954728915857742e-08,-4.111961088286522e-08,-4.0741615275154406e-08,2.9451871481951794e-08
-529.3125,-3.852288387491908e-08,-4.096516745465284e-08,-4.034322458298569e-08,2.9472773305923726e-08
-529.8125,-3.887653814274527e-08,-4.134296898212728e-08,-4.023826115937961e-08,2.9493682480739055e-08
-530.3125,-3.700892571714629e-08,-4.0872893532194805e-08,-3.991226550434196e-08,2.951459898549267e-08
-530.8125,-3.7267212541963166e-08,-4.120451389953879e-08,-4.0033132020471365e-08,2.9535522799287547e-08
-531.3125,-3.806035177632394e-08,-4.106899130985777e-08,-3.99817295489049e-08,2.955645390123477e-08
-531.8125,-3.807386216408358e-08,-4.108970998383912e-08,-4.0253275990526895e-08,2.957739227045352e-08
-532.3125,-3.9018794578567496e-08,-4.113799987111442e-08,-4.053341096223335e-08,2.9598337886071087e-08
-532.8125,-4.042546436295482e-08,-4.110397513065958e-08,-4.074091373271174e-08,2.9619290727222852e-08
-533.3125,-4.1119262510847546e-08,-4.1160646249667415e-08,-4.128191613204863e-08,2.96402507730523e-08
-533.8125,-4.212856794936275e-08,-4.0911156673906386e-08,-4.1282669739936686e-08,2.9661218002711015e-08
-534.3125,-4.373391990668613e-08,-4.140117980945066e-08,-4.2011622767455086e-08,2.9682192395358685e-08
-534.8125,-4.351695897383995e-08,-4.070755665564372e-08,-4.179198255114385e-08,2.9703173930163104e-08
-535.3125,-4.529158814250487e-08,-4.153164085211906e-08,-4.2489516969322704e-08,2.9724162586300156e-08
-535.8125,-4.4616863483214e-08,-4.0798016570736436e-08,-4.2016204773022937e-08,2.974515834295383e-08
-536.3125,-4.4741635887817846e-08,-4.136272129882336e-08,-4.2404473148803653e-08,2.9766161179316215e-08
-536.8125,-4.385789758259824e-08,-4.094324958631434e-08,-4.18192342390045e-08,2.97871710745875e-08
-537.3125,-4.302661137103377e-08,-4.122791685495085e-08,-4.184667852362882e-08,2.980818800797598e-08
-537.8125,-4.196564856755517e-08,-4.10346209659439e-08,-4.138052680311313e-08,2.982921195869804e-08
-538.3125,-4.140774902595071e-08,-4.113703792823231e-08,-4.106494809708983e-08,2.9850242905978185e-08
-538.8125,-3.982226528592093e-08,-4.1255064030930905e-08,-4.080762824537832e-08,2.9871280829048995e-08
-539.3125,-3.831545968637383e-08,-4.0924158595249803e-08,-4.029732702575218e-08,2.9892325707151175e-08
-539.8125,-3.8657193023823866e-08,-4.14194471215636e-08,-4.031458411967114e-08,2.991337751953351e-08
-540.3125,-3.7267212541963166e-08,-4.0852861638129245e-08,-3.990857687515192e-08,2.9934436245452905e-08
-540.8125,-3.752073099462958e-08,-4.1290070143069176e-08,-4.0109223695836475e-08,2.995550186417434e-08
-541.3125,-3.7631993011473766e-08,-4.103115539689237e-08,-4.0019726535314495e-08,2.9976574354970935e-08
-541.8125,-3.810565131175335e-08,-4.111267687187017e-08,-4.0234071580368514e-08,2.999765369712388e-08
-542.3125,-3.930569163628717e-08,-4.12273933534427e-08,-4.059572200979321e-08,3.001873986992246e-08
-542.8125,-4.020770870141689e-08,-4.100399004394748e-08,-4.069660916883048e-08,3.0039832852664084e-08
-543.3125,-4.139105972342409e-08,-4.1403503115079486e-08,-4.14112196764166e-08,3.006093262465426e-08
-543.8125,-4.2177046399559155e-08,-4.0791023344948485e-08,-4.12932827004463e-08,3.008203916520658e-08
-544.3125,-4.4013664406180116e-08,-4.155515616184658e-08,-4.2091923953628334e-08,3.010315245364273e-08
